iter	RMSE
0	271009.0981
1	234837.7346
2	208386.3551
3	188495.6284
4	173243.4729
5	161474.7943
6	152311.9595
7	144225.6348
8	138353.9693
9	133915.5381
10	129805.4863
11	126097.0128
12	123121.6658
13	120776.0172
14	118011.3351
15	116376.7285
16	114680.4492
17	112893.0954
18	111175.6499
19	109608.461
20	108183.0988
21	107124.4347
22	105962.3665
23	104975.0059
24	104419.0125
25	103713.6352
26	102810.2737
27	102205.2123
28	101654.331
29	100953.2216
30	100005.518
31	99602.19951
32	98908.93871
33	98299.65415
34	97768.89339
35	97256.66061
36	96916.55813
37	96000.34863
38	95734.7726
39	95249.67159
40	94616.6202
41	94148.76693
42	93728.50585
43	93163.65576
44	92455.74306
45	92011.19335
46	91661.57391
47	91136.58266
48	90847.11417
49	90446.4985
50	89820.39708
51	89495.46982
52	89173.16823
53	88571.58216
54	88257.47076
55	87605.71466
56	87268.77948
57	86883.47017
58	86497.27734
59	86252.21669
60	85904.03646
61	85435.65432
62	85131.38546
63	84548.58592
64	84187.37736
65	83974.1477
66	83677.03397
67	83455.51769
68	83274.24006
69	83055.54782
70	82909.48369
71	82620.50196
72	82225.85972
73	81937.66539
74	81495.25597
75	81159.86375
76	80882.12956
77	80579.04334
78	80325.78066
79	79979.9848
80	79729.78143
81	79568.62903
82	79402.64299
83	79103.7992
84	78876.87445
85	78769.93486
86	78571.0724
87	78203.48445
88	77933.40785
89	77602.20452
90	77402.10073
91	77232.26126
92	77035.28188
93	76764.94775
94	76465.77663
95	76301.57173
96	76056.80585
97	75897.91911
98	75768.84418
99	75506.17923
100	75276.53237
101	75173.79902
102	74954.88828
103	74764.88086
104	74703.17388
105	74256.29902
106	74018.13291
107	73784.17834
108	73467.87123
109	73293.04118
110	73170.44683
111	72960.14507
112	72718.39537
113	72628.06434
114	72531.1692
115	72359.15834
116	72181.437
117	72054.36846
118	71900.88238
119	71793.99644
120	71590.10863
121	71459.05157
122	71316.71363
123	71043.96564
124	70945.40681
125	70860.02793
126	70723.74355
127	70616.42139
128	70516.4814
129	70302.85108
130	70174.63383
131	70045.61944
132	69980.24058
133	69894.97939
134	69744.68216
135	69573.96217
136	69306.87807
137	69135.86959
138	68969.32014
139	68824.08745
140	68642.62771
141	68537.88309
142	68355.37519
143	68157.06556
144	68049.69241
145	67975.99374
146	67896.54318
147	67737.96425
148	67538.22234
149	67382.66191
150	67243.346
151	67046.56444
152	66974.7166
153	66932.44371
154	66766.96932
155	66594.89822
156	66525.42835
157	66406.56792
158	66263.0536
159	66175.89155
160	66087.4196
161	65990.3865
162	65819.73498
163	65720.80059
164	65679.05701
165	65596.86993
166	65444.3407
167	65353.70005
168	65255.55701
169	65180.55619
170	65034.58794
171	64912.25615
172	64867.88178
173	64803.95918
174	64534.81403
175	64468.39996
176	64360.10818
177	64286.49367
178	64193.96005
179	64171.85991
180	64112.41195
181	63975.37954
182	63858.88767
183	63746.48097
