iter	Passed	Remaining
0	2	368
1	4	343
2	7	352
3	9	337
4	11	321
5	13	309
6	15	302
7	17	294
8	19	289
9	22	295
10	24	287
11	26	287
12	28	281
13	30	278
14	32	274
15	34	268
16	36	263
17	38	263
18	40	260
19	43	258
20	45	257
21	47	254
22	49	251
23	51	247
24	53	247
25	56	246
26	58	244
27	60	242
28	62	239
29	64	237
30	66	233
31	68	230
32	70	229
33	72	227
34	74	224
35	76	222
36	78	219
37	80	217
38	82	214
39	85	213
40	87	211
41	89	209
42	91	207
43	93	204
44	96	203
45	98	200
46	100	198
47	102	196
48	104	194
49	107	192
50	109	190
51	111	189
52	113	186
53	115	184
54	117	182
55	120	180
56	122	178
57	124	176
58	126	174
59	129	172
60	130	169
61	133	167
62	135	165
63	137	163
64	138	160
65	140	157
66	142	155
67	144	153
68	146	150
69	148	148
70	150	146
71	152	144
72	154	142
73	156	139
74	158	137
75	160	135
76	162	132
77	164	130
78	165	128
79	168	126
80	170	124
81	172	122
82	175	120
83	177	118
84	179	115
85	181	113
86	183	111
87	186	109
88	188	107
89	190	105
90	192	103
91	194	101
92	196	99
93	197	96
94	200	95
95	203	93
96	205	90
97	206	88
98	208	86
99	210	84
100	212	82
101	214	79
102	217	77
103	219	75
104	221	73
105	223	71
106	225	69
107	227	67
108	229	65
109	231	63
110	233	61
111	235	58
112	237	56
113	239	54
114	241	52
115	243	50
116	245	48
117	247	46
118	249	44
119	252	42
120	254	39
121	256	37
122	258	35
123	260	33
124	262	31
125	264	29
126	266	27
127	268	25
128	270	23
129	273	21
130	275	18
131	277	16
132	279	14
133	281	12
134	283	10
135	286	8
136	288	6
137	290	4
138	292	2
139	293	0
